Bin Center (µm),Mean Relative Error,Max Relative Error,Min Relative Error
2.0,0.028139984902257414,0.14486082592876381,0.006907419749245257
2.6764705882352944,0.04317828905216084,0.2060682666446461,0.01249619776682603
3.3529411764705883,0.07426909213835274,0.38137271230812725,0.00894210264922903
4.029411764705882,0.09456016007747536,0.9790097206025453,0.0194621707515331
4.705882352941177,0.13761385362315373,0.9223421804859327,0.026898207273755654
5.382352941176471,0.23100093420675766,8.934825318857893,0.03444925956912044
6.0588235294117645,0.27951042301215856,3.6743111144957266,0.038063261294986585
6.735294117647059,0.34697264533118455,5.540818255748624,0.03826370948440838
7.411764705882353,0.37368994464016697,2.5491005610175432,0.04674307561617929
8.088235294117649,0.4451708971113469,4.3070866192361965,0.053043704563858124
8.764705882352942,0.5261708261887573,7.145473189164082,0.05813570334977626
9.441176470588236,0.7204910041499312,42.339127888811205,0.059607650659189576
10.117647058823529,0.6711408671108512,7.354220785982531,0.06119738096632119
10.794117647058824,0.7223975979062995,11.87167598280134,0.06432614581241934
11.470588235294118,0.8088192918953915,8.78376797948185,0.07106765628809508
12.147058823529413,0.8472710121000782,5.744122161938686,0.08049859775788767
12.823529411764707,0.8240950278079088,5.158301361907338,0.09277147968350798
13.5,0.8784208815676959,6.647975351946269,0.09242545820028238
14.176470588235295,1.0095462208200954,9.379791452023783,0.0962166236867219
14.852941176470589,1.1041126794010367,12.036096934582764,0.10999128316968552
15.529411764705884,1.0344194344569413,7.649354691428524,0.13211002184472292
16.205882352941178,1.1780673899450333,19.4433106575961,0.12949767186446753
16.88235294117647,1.281999287053296,19.825605944302946,0.1149806745248682
17.558823529411768,1.0613177184285552,5.325069492048749,0.10445721483401238
18.235294117647058,1.2466010899018718,19.01033366458834,0.12329340237371371
18.911764705882355,1.182778598565408,5.584273554908691,0.15962614070790976
19.58823529411765,1.2132015657284945,10.623660654007981,0.16916657410340763
20.264705882352942,1.0241152359847674,4.075854101451952,0.1539090160884716
20.941176470588236,1.1102216533934248,4.500668265027355,0.12707409984221457
21.61764705882353,1.1875609101104485,4.744712784451778,0.21945291975874942
